Gene	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
ENSMUST00000170985.7|ENSMUSG00000015536.14|chr13|+	3358.5	114828681	chr13:114828289-114829006	65.01	321.36	0.17	50.73	301.55	0.14	45.80	267.34	0.15	54.92	335.87	0.14	49.13	195.54	0.20	55.56	298.31	0.16	0.153333333333	0.166666666667	-0.0133333333333	0.752057408518716	1.0	N
ENSMUST00000235215.1|ENSMUSG00000024588.9|chr18|-	692.3	64458016	chr18:64457262-64458217	163.69	0.00	1.00	126.09	0.00	1.00	126.74	0.00	1.00	129.88	0.00	1.00	131.80	0.00	1.00	122.85	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000132306.1|ENSMUSG00000034210.14|chr4|+	78.0	115753122	chr4:115752921-115753932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000111292.7|ENSMUSG00000058318.15|chr2|+	172.9	92360370	chr2:92360169-92360893	61.25	0.00	1.00	103.42	0.00	1.00	52.43	0.00	1.00	76.56	0.00	1.00	62.26	0.00	1.00	59.96	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000032946.9|ENSMUSG00000030704.14|chr7|+	163398.7	100639456	chr7:100639255-100641268	1151.98	0.00	1.00	1056.93	0.00	1.00	1217.47	0.00	1.00	1017.37	0.00	1.00	913.87	0.00	1.00	975.76	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000230477.1|ENSMUSG00000032988.4|chr15|-	54.8	79251826	chr15:79251022-79252718	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.93	19.96	0.77	50.24	22.61	0.69	58.19	21.97	0.73	NA	NA	NA	NA	NA	N
ENSMUST00000125322.7|ENSMUSG00000036202.16|chr2|+	92.1	52121692	chr2:52120992-52122056	73.22	0.00	1.00	69.11	0.00	1.00	70.83	0.00	1.00	68.65	0.00	1.00	65.25	0.00	1.00	59.64	2.15	0.97	1.0	0.99	0.01	1.0	1.0	N
ENSMUST00000143481.1|ENSMUSG00000003660.10|chr2|+	18881.6	127238024	chr2:127237823-127238326	241.16	4.43	0.98	227.87	40.35	0.85	248.57	9.97	0.96	253.25	9.56	0.96	192.85	43.85	0.81	213.68	11.75	0.95	0.93	0.906666666667	0.0233333333333	0.5072449857439157	1.0	N
ENSMUST00000123790.7|ENSMUSG00000005882.18|chr2|-	3228.3	155851271	chr2:155850903-155851472	1.75	106.09	0.02	0.00	107.80	0.00	0.41	78.62	0.01	1.70	63.93	0.03	0.00	98.93	0.00	0.38	78.55	0.00	0.01	0.01	0.0	1.0	1.0	N
ENSMUST00000022622.13|ENSMUSG00000059456.13|chr14|-	15937.8	66154068	chr14:66153257-66154269	222.11	0.00	1.00	167.93	0.00	1.00	153.53	0.00	1.00	189.03	0.00	1.00	145.98	0.00	1.00	174.58	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000205661.1|ENSMUSG00000003378.9|chr7|-	2666.8	25060430	chr7:25060112-25060631	9.25	131.48	0.07	11.70	98.95	0.11	23.89	133.52	0.15	11.18	157.58	0.07	19.06	126.73	0.13	23.02	85.70	0.21	0.11	0.136666666667	-0.0266666666667	0.7051245806591961	1.0	N
ENSMUST00000129753.7|ENSMUSG00000029455.14|chr5|-	80.4	121570560	chr5:121570316-121570761	NA	NA	NA	35.07	0.00	1.00	29.04	2.34	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000022553.5|ENSMUSG00000021981.10|chr14|+	438.5	59547187	chr14:59546986-59548903	60.34	0.00	1.00	55.21	0.00	1.00	64.23	0.00	1.00	53.34	0.00	1.00	52.07	0.00	1.00	57.05	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000192318.1|ENSMUSG00000032936.13|chr9|+	186706.9	107947945	chr9:107947744-107949677	1267.86	0.00	1.00	1084.04	0.00	1.00	1436.57	0.00	1.00	1242.15	0.00	1.00	844.35	0.00	1.00	1105.09	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000077946.11|ENSMUSG00000038608.15|chr1|-	140.0	80501625	chr1:80501073-80501826	27.70	46.33	0.37	20.76	41.24	0.33	22.79	61.58	0.27	33.19	26.15	0.56	23.76	29.84	0.44	17.70	34.05	0.34	0.323333333333	0.446666666667	-0.123333333333	0.19291573299874687	1.0	N
ENSMUST00000179521.7|ENSMUSG00000017781.17|chr11|+	7931.8	75626676	chr11:75626117-75628778	267.65	214.01	0.56	252.29	426.88	0.37	222.89	166.16	0.57	201.11	197.65	0.50	228.30	317.48	0.42	229.02	240.89	0.49	0.5	0.47	0.03	0.7018085370681106	1.0	N
ENSMUST00000192639.5|ENSMUSG00000026701.15|chr1|-	17107.3	161241249	chr1:161241015-161241849	586.97	136.38	0.81	476.10	73.26	0.87	500.85	91.96	0.84	538.31	49.10	0.92	488.81	11.55	0.98	521.28	103.73	0.83	0.84	0.91	-0.07	0.0007181303335715514	0.0279708138005	N
ENSMUST00000115787.7|ENSMUSG00000023805.17|chr17|+	260.8	6037585	chr17:6037384-6038328	63.54	0.00	1.00	63.05	0.00	1.00	46.06	0.00	1.00	60.46	0.00	1.00	58.34	0.00	1.00	60.91	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000147195.1|ENSMUSG00000020790.14|chr11|+	460.6	72760441	chr11:72760240-72760890	6.44	31.94	0.17	7.17	31.08	0.19	4.90	38.92	0.11	6.12	45.47	0.12	4.59	32.02	0.13	5.95	39.87	0.13	0.156666666667	0.126666666667	0.03	0.7482134537804437	1.0	N
ENSMUST00000168971.1|ENSMUSG00000001416.13|chr3|+	3061.5	88321648	chr3:88321444-88321765	168.17	0.00	1.00	148.21	0.00	1.00	178.02	0.00	1.00	165.51	0.00	1.00	158.91	0.00	1.00	139.27	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000184450.7|ENSMUSG00000032216.15|chr9|+	9554.9	72718419	chr9:72718218-72720790	15.55	637.93	0.02	11.92	586.39	0.02	17.01	603.58	0.03	11.29	586.03	0.02	10.32	560.34	0.02	11.20	531.63	0.02	0.0233333333333	0.02	0.00333333333333	0.6807159978342836	1.0	N
ENSMUST00000003345.9|ENSMUSG00000021314.13|chr13|+	28923.8	19149937	chr13:19149736-19150921	720.11	0.00	1.00	717.91	0.00	1.00	724.09	0.00	1.00	579.86	0.00	1.00	646.10	0.00	1.00	688.10	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000194224.5|ENSMUSG00000032612.14|chr9|+	184.9	108385008	chr9:108384807-108385903	19.21	41.34	0.32	17.42	38.11	0.31	18.42	50.12	0.27	20.69	29.34	0.41	16.59	55.25	0.23	18.57	38.88	0.32	0.3	0.32	-0.02	1.0	1.0	N
ENSMUST00000111188.4|ENSMUSG00000029681.12|chr5|+	1823.0	135181039	chr5:135180838-135181831	127.72	0.00	1.00	92.08	0.00	1.00	106.77	0.00	1.00	151.75	0.00	1.00	130.97	0.00	1.00	107.86	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000123007.1|ENSMUSG00000029833.17|chr6|+	1044.5	37927727	chr6:37927526-37928008	1.05	41.04	0.03	0.66	48.90	0.01	2.73	57.30	0.05	0.53	46.61	0.01	1.06	56.39	0.02	1.54	42.49	0.03	0.03	0.02	0.01	1.0	1.0	N
ENSMUST00000111316.8|ENSMUSG00000040506.16|chr2|+	275.4	91917528	chr2:91917327-91918848	114.42	0.00	1.00	86.92	0.00	1.00	84.94	0.00	1.00	79.56	0.00	1.00	96.92	0.00	1.00	76.56	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000142809.1|ENSMUSG00000026889.12|chr2|-	1778.7	36127050	chr2:36126220-36127251	12.46	107.42	0.10	8.44	87.14	0.09	9.10	98.05	0.08	10.01	99.75	0.09	11.53	93.34	0.11	8.88	107.96	0.08	0.09	0.0933333333333	-0.00333333333333	1.0	1.0	N
ENSMUST00000183404.7|ENSMUSG00000032228.16|chr9|-	191.0	71844392	chr9:71842688-71846560	3.06	48.10	0.06	3.57	44.69	0.07	3.60	46.76	0.07	3.87	54.43	0.07	3.14	46.50	0.06	2.10	33.44	0.06	0.0666666666667	0.0633333333333	0.00333333333333	1.0	1.0	N
ENSMUST00000146454.8|ENSMUSG00000027405.16|chr2|+	111602.6	130278614	chr2:130278413-130279253	241.90	0.00	1.00	206.96	0.00	1.00	206.58	0.00	1.00	510.68	0.00	1.00	445.63	0.00	1.00	489.56	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000221993.1|ENSMUSG00000019969.14|chr12|+	1254.6	83724697	chr12:83724496-83725683	6.16	107.34	0.05	10.54	106.12	0.09	6.01	105.22	0.05	8.15	83.57	0.09	9.26	90.18	0.09	7.89	115.79	0.06	0.0633333333333	0.08	-0.0166666666667	0.7906640722051799	1.0	N
ENSMUST00000235587.1|ENSMUSG00000062202.14|chr17|-	359.2	30220369	chr17:30220100-30220570	54.89	132.87	0.29	43.13	78.06	0.36	50.09	114.93	0.30	51.50	83.47	0.38	63.63	64.09	0.50	32.16	56.42	0.36	0.316666666667	0.413333333333	-0.0966666666667	0.07390991052132262	0.887839922026	N
ENSMUST00000135719.7|ENSMUSG00000027829.15|chr3|-	931.1	65946747	chr3:65946195-65946948	151.88	0.00	1.00	136.64	0.00	1.00	112.42	0.00	1.00	129.03	0.00	1.00	128.37	0.00	1.00	132.41	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000191242.6|ENSMUSG00000014850.15|chr13|-	167.2	92212345	chr13:92211880-92212546	50.84	0.00	1.00	63.86	0.00	1.00	33.18	0.00	1.00	41.76	0.00	1.00	59.47	0.00	1.00	54.08	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000079883.11|ENSMUSG00000113949.1|chr10|+	1225.8	80614805	chr10:80614604-80615783	66.15	0.00	1.00	90.81	0.00	1.00	126.20	0.00	1.00	85.95	0.00	1.00	114.67	0.00	1.00	93.68	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000152201.1|ENSMUSG00000017858.12|chr2|+	1118.2	163028232	chr2:163028031-163028429	NA	NA	NA	NA	NA	NA	3.50	32.32	0.10	0.00	41.69	0.00	2.80	28.75	0.09	NA	NA	NA	0.1	0.045	0.055	0.3570116350275563	1.0	N
ENSMUST00000148763.1|ENSMUSG00000052949.14|chr11|-	9685.4	116354276	chr11:116353968-116354477	0.34	126.67	0.00	1.83	185.05	0.01	0.02	143.39	0.00	0.31	161.26	0.00	0.05	117.36	0.00	0.05	163.19	0.00	0.00333333333333	0.0	0.00333333333333	1.0	1.0	N
ENSMUST00000155026.1|ENSMUSG00000023460.13|chr17|-	7223.7	66497907	chr17:66497490-66498108	0.60	111.38	0.01	14.38	120.63	0.11	4.54	105.04	0.04	4.41	91.80	0.05	11.30	101.64	0.10	10.52	98.98	0.10	0.0533333333333	0.0833333333333	-0.03	0.5820442278542073	1.0	N
ENSMUST00000223998.1|ENSMUSG00000042682.9|chr14|+	6101.6	29974677	chr14:29974476-29974840	244.15	0.00	1.00	237.55	0.00	1.00	272.35	0.00	1.00	161.92	0.00	1.00	242.41	0.00	1.00	255.37	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000092966.4|ENSMUSG00000000579.14|chr17|+	89.3	6607713	chr17:6607501-6609679	6.67	80.03	0.08	3.84	108.93	0.03	7.44	88.49	0.08	7.35	65.36	0.10	5.48	104.95	0.05	8.68	60.42	0.13	0.0633333333333	0.0933333333333	-0.03	0.5507058565175551	1.0	N
ENSMUST00000143349.7|ENSMUSG00000027184.14|chr2|-	5054.5	103768268	chr2:103767107-103768469	117.92	0.00	1.00	187.51	0.00	1.00	214.24	0.00	1.00	160.28	0.00	1.00	180.83	0.00	1.00	140.97	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000223105.1|ENSMUSG00000035597.19|chr12|+	131.9	65044193	chr12:65043992-65045683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000181999.7|ENSMUSG00000029110.13|chr5|+	347.6	34346976	chr5:34346775-34347134	12.46	30.45	0.29	17.83	20.01	0.47	12.02	23.38	0.34	13.86	21.20	0.40	6.57	26.80	0.20	8.08	28.85	0.22	0.366666666667	0.273333333333	0.0933333333333	0.4492813487613524	1.0	N
ENSMUST00000131405.1|ENSMUSG00000033628.15|chr18|+	46.5	30348004	chr18:30347723-30348120	50.85	0.00	1.00	41.84	3.54	0.92	33.12	2.75	0.92	47.61	0.00	1.00	42.48	3.01	0.93	44.74	0.00	1.00	0.946666666667	0.976666666667	-0.03	0.6120689655172414	1.0	N
ENSMUST00000022480.7|ENSMUSG00000021913.8|chr14|+	298.7	32347707	chr14:32347506-32347820	206.40	0.00	1.00	219.69	0.00	1.00	126.16	0.00	1.00	189.94	0.00	1.00	225.91	0.00	1.00	251.01	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000201414.3|ENSMUSG00000029447.11|chr5|+	3160.1	129845949	chr5:129845748-129846371	535.25	40.84	0.93	500.06	50.88	0.91	491.75	0.00	1.00	482.70	79.24	0.86	451.67	38.77	0.92	465.81	0.00	1.00	0.946666666667	0.926666666667	0.02	0.17180438769660103	1.0	N
ENSMUST00000086198.4|ENSMUSG00000035024.16|chr9|+	205.6	27094913	chr9:27094712-27095311	83.40	0.00	1.00	110.18	0.00	1.00	89.07	0.00	1.00	77.83	0.00	1.00	69.42	0.00	1.00	87.41	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000129647.1|ENSMUSG00000057894.10|chr7|-	71.1	12806244	chr7:12806073-12806592	36.79	26.62	0.58	42.52	37.01	0.53	56.48	17.48	0.76	37.09	18.71	0.66	43.82	22.71	0.66	36.77	23.69	0.61	0.623333333333	0.643333333333	-0.02	0.8563024625488597	1.0	N
ENSMUST00000136113.1|ENSMUSG00000028826.14|chr4|-	2570.1	134837789	chr4:134837260-134837990	7.67	112.57	0.06	9.45	111.58	0.08	8.77	122.61	0.07	6.46	133.44	0.05	6.11	113.59	0.05	8.30	108.81	0.07	0.07	0.0566666666667	0.0133333333333	0.5956845558906486	1.0	N
ENSMUST00000139754.7|ENSMUSG00000073436.11|chr17|-	37.5	24892743	chr17:24892155-24892944	NA	NA	NA	3.74	26.28	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000166299.1|ENSMUSG00000048264.16|chr13|+	287.0	9666002	chr13:9665778-9666178	116.28	17.00	0.87	117.30	0.00	1.00	124.65	0.00	1.00	100.31	15.95	0.86	138.52	0.00	1.00	120.30	0.00	1.00	0.956666666667	0.953333333333	0.00333333333333	1.0	1.0	N
ENSMUST00000077303.3|ENSMUSG00000027303.18|chr2|+	7199.8	130553595	chr2:130553394-130554023	607.51	0.00	1.00	659.22	0.00	1.00	659.43	0.00	1.00	564.64	0.00	1.00	579.00	0.00	1.00	574.63	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000237069.1|ENSMUSG00000024502.10|chr18|-	5244.6	43590604	chr18:43590517-43590826	318.29	23.46	0.93	261.70	3.42	0.99	345.69	45.08	0.88	360.53	13.11	0.96	331.24	34.64	0.91	375.36	0.00	1.00	0.933333333333	0.956666666667	-0.0233333333333	0.09723752150522212	1.0	N
ENSMUST00000147516.1|ENSMUSG00000024191.15|chr17|+	322.3	26789896	chr17:26789695-26790008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000137118.1|ENSMUSG00000038593.18|chr5|-	61.8	122248782	chr5:122248440-122248983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000114840.1|ENSMUSG00000032011.5|chr9|+	628264.6	44047540	chr9:44047339-44048579	1937.11	0.00	1.00	1709.69	0.00	1.00	1691.20	0.00	1.00	1766.72	0.00	1.00	1327.78	0.00	1.00	1419.62	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000207087.1|ENSMUSG00000030591.17|chr7|-	97755.3	29177030	chr7:29176841-29177231	15.62	372.68	0.04	8.29	464.99	0.02	19.06	429.58	0.04	8.88	370.75	0.02	16.73	357.42	0.04	5.23	399.97	0.01	0.0333333333333	0.0233333333333	0.01	0.6806207406694254	1.0	N
ENSMUST00000153645.1|ENSMUSG00000028743.7|chr4|+	259.6	139317135	chr4:139316934-139317410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000220614.1|ENSMUSG00000033530.8|chr12|-	3574.1	100500029	chr12:100499794-100500230	1.35	121.51	0.01	2.89	128.63	0.02	1.88	125.28	0.01	1.69	124.18	0.01	0.91	147.29	0.01	1.96	112.43	0.02	0.0133333333333	0.0133333333333	0.0	0.6220413857242373	1.0	N
ENSMUST00000162626.7|ENSMUSG00000060073.9|chr12|+	9162.8	70994552	chr12:70994351-70994921	71.34	118.34	0.38	89.45	320.02	0.22	76.84	129.77	0.37	70.15	377.25	0.16	65.74	221.08	0.23	62.61	104.13	0.38	0.323333333333	0.256666666667	0.0666666666667	0.043430950014052214	0.631365667311	N
ENSMUST00000214029.1|ENSMUSG00000053641.9|chr9|+	416.9	64911916	chr9:64911665-64912111	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.54	33.59	0.10	3.71	26.32	0.12	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000130941.1|ENSMUSG00000068740.13|chr3|-	347.6	108393704	chr3:108393535-108394024	NA	NA	NA	NA	NA	NA	14.65	18.43	0.44	25.82	9.13	0.74	15.82	16.24	0.49	NA	NA	NA	0.44	0.615	-0.175	0.2101294017367667	1.0	N
ENSMUST00000220488.1|ENSMUSG00000057649.6|chr13|+	3000.2	73960439	chr13:73960238-73960813	234.43	0.00	1.00	261.45	0.00	1.00	345.22	0.00	1.00	254.59	0.00	1.00	227.59	0.00	1.00	279.53	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000118186.1|ENSMUSG00000002031.13|chr9|+	412.9	44790686	chr9:44790485-44790895	68.98	0.00	1.00	69.95	0.00	1.00	73.54	0.00	1.00	73.63	0.00	1.00	82.69	0.00	1.00	78.32	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000037286.9|ENSMUSG00000036907.9|chr1|+	1138.4	120342955	chr1:120342395-120343174	130.15	58.84	0.69	121.41	69.38	0.64	98.06	71.44	0.58	69.80	54.83	0.56	92.89	49.70	0.65	80.15	64.40	0.55	0.636666666667	0.586666666667	0.05	0.41499265344171254	1.0	N
ENSMUST00000236503.1|ENSMUSG00000002625.10|chr17|-	741.7	32321584	chr17:32321425-32321785	244.98	0.00	1.00	154.49	0.00	1.00	143.15	0.00	1.00	107.41	0.00	1.00	154.11	0.00	1.00	158.65	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000135464.1|ENSMUSG00000029390.13|chr5|+	31902.7	124549282	chr5:124549081-124550496	449.36	0.00	1.00	157.36	0.00	1.00	390.48	0.00	1.00	338.13	0.00	1.00	376.78	0.00	1.00	386.67	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000138509.7|ENSMUSG00000037514.17|chr2|+	113.9	131296474	chr2:131296273-131296691	43.01	0.00	1.00	36.14	0.00	1.00	43.92	0.00	1.00	33.86	0.00	1.00	38.89	0.00	1.00	46.68	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000162056.7|ENSMUSG00000026150.14|chr1|+	405.5	82735620	chr1:82735419-82736728	15.95	24.65	0.39	13.15	20.10	0.40	16.91	32.83	0.34	16.47	43.28	0.28	13.11	43.50	0.23	NA	NA	NA	0.376666666667	0.255	0.121666666667	0.18456679062577291	1.0	N
ENSMUST00000147014.1|ENSMUSG00000063646.18|chr5|+	118.1	37085498	chr5:37085236-37086955	2.25	41.51	0.05	1.69	37.52	0.04	1.80	42.10	0.04	1.75	45.73	0.04	0.99	45.32	0.02	2.16	44.48	0.05	0.0433333333333	0.0366666666667	0.00666666666667	1.0	1.0	N
ENSMUST00000149804.1|ENSMUSG00000046722.14|chr3|+	2460.5	95232092	chr3:95231785-95232381	13.45	292.58	0.04	12.86	235.64	0.05	10.11	298.14	0.03	7.21	199.68	0.03	16.05	316.81	0.05	9.98	245.37	0.04	0.04	0.04	0.0	1.0	1.0	N
ENSMUST00000178111.1|ENSMUSG00000040620.15|chr11|-	810.1	70993497	chr11:70993110-70993698	9.70	36.00	0.21	13.65	31.85	0.30	9.48	36.44	0.21	9.73	34.33	0.22	18.56	38.12	0.33	10.03	44.30	0.18	0.24	0.243333333333	-0.00333333333333	1.0	1.0	N
ENSMUST00000205131.1|ENSMUSG00000030317.8|chr6|-	99.1	115247153	chr6:115246832-115247354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000129119.1|ENSMUSG00000047495.15|chr8|+	107.1	14847051	chr8:14846490-14847398	116.31	0.00	1.00	94.47	5.02	0.95	104.97	5.32	0.95	73.90	9.27	0.89	86.14	6.00	0.93	118.77	0.00	1.00	0.966666666667	0.94	0.0266666666667	0.4804165945214033	1.0	N
ENSMUST00000133615.1|ENSMUSG00000027109.16|chr2|-	17420.2	72938181	chr2:72936652-72938382	361.43	0.00	1.00	291.70	0.00	1.00	438.37	0.00	1.00	533.73	0.00	1.00	510.52	0.00	1.00	515.89	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000141016.1|ENSMUSG00000052915.14|chr11|+	631.7	98805543	chr11:98805342-98805779	50.95	39.47	0.56	48.62	35.79	0.58	62.66	73.80	0.46	52.06	114.69	0.31	55.16	61.09	0.47	48.31	31.76	0.60	0.533333333333	0.46	0.0733333333333	0.14221805736539217	1.0	N
ENSMUST00000114666.8|ENSMUSG00000052459.13|chr16|-	104143.5	44087315	chr16:44085402-44087516	692.13	0.00	1.00	677.71	0.00	1.00	811.60	0.00	1.00	682.76	0.00	1.00	761.49	0.00	1.00	740.23	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000144027.1|ENSMUSG00000018363.16|chr11|-	585.5	106830856	chr11:106830588-106831057	4.11	53.08	0.07	3.74	41.27	0.08	1.31	48.89	0.03	5.45	43.94	0.11	1.31	51.23	0.03	3.78	50.25	0.07	0.06	0.07	-0.01	1.0	1.0	N
ENSMUST00000041438.6|ENSMUSG00000038332.13|chr10|+	2654.3	41907473	chr10:41907272-41908424	190.98	0.00	1.00	187.30	0.00	1.00	200.70	0.00	1.00	169.71	0.00	1.00	198.90	0.00	1.00	215.22	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000194875.5|ENSMUSG00000032599.12|chr9|+	803.3	108797485	chr9:108797284-108797692	65.39	0.00	1.00	67.13	0.00	1.00	96.70	0.00	1.00	103.26	0.00	1.00	139.77	0.00	1.00	143.86	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000022867.4|ENSMUSG00000022257.4|chr15|+	645.4	34283501	chr15:34283300-34284302	75.70	0.00	1.00	67.42	0.00	1.00	78.68	0.00	1.00	55.54	0.00	1.00	114.24	0.00	1.00	71.78	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000126813.1|ENSMUSG00000061288.13|chr5|+	1792.7	117241297	chr5:117241096-117241448	0.52	73.23	0.01	0.00	71.83	0.00	0.00	54.37	0.00	0.00	77.43	0.00	1.57	60.42	0.03	0.00	80.07	0.00	0.00333333333333	0.01	-0.00666666666667	1.0	1.0	N
ENSMUST00000237717.1|ENSMUSG00000024588.9|chr18|-	694.2	64458016	chr18:64457261-64458217	163.70	0.00	1.00	126.13	0.00	1.00	126.80	0.00	1.00	129.96	0.00	1.00	131.88	0.00	1.00	122.94	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000020928.12|ENSMUSG00000020604.13|chr11|+	217.2	109572420	chr11:109572219-109573325	75.89	0.00	1.00	58.94	0.00	1.00	81.13	0.00	1.00	63.26	0.00	1.00	61.35	0.00	1.00	56.87	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000145802.7|ENSMUSG00000030691.15|chr7|+	55.9	101198682	chr7:101198481-101200968	NA	NA	NA	NA	NA	NA	1.70	31.56	0.05	2.39	33.02	0.07	1.21	33.10	0.04	NA	NA	NA	0.05	0.055	-0.005	1.0	1.0	N
ENSMUST00000218626.1|ENSMUSG00000035247.16|chr12|-	402.3	51759233	chr12:51758038-51759441	6.71	238.08	0.03	5.61	308.24	0.02	3.69	316.04	0.01	4.74	255.85	0.02	4.01	231.88	0.02	3.65	238.01	0.02	0.02	0.02	0.0	1.0	1.0	N
ENSMUST00000182113.7|ENSMUSG00000058589.14|chr10|+	11546.0	90970822	chr10:90969804-90971459	183.43	384.47	0.32	206.62	389.06	0.35	184.34	473.69	0.28	182.56	426.74	0.30	182.26	482.99	0.27	211.11	338.23	0.38	0.316666666667	0.316666666667	-5.55111512313e-17	1.0	1.0	N
ENSMUST00000148812.1|ENSMUSG00000040606.13|chr4|-	114.0	142141595	chr4:142139244-142141796	NA	NA	NA	NA	NA	NA	23.34	13.90	0.63	34.41	0.00	1.00	27.98	17.72	0.61	24.03	12.28	0.66	0.63	0.756666666667	-0.126666666667	0.4533706186831663	1.0	N
ENSMUST00000226472.1|ENSMUSG00000022175.9|chr14|+	58.3	54469535	chr14:54469265-54469734	34.63	12.78	0.73	30.52	0.00	1.00	36.19	1.18	0.97	45.39	19.57	0.70	71.30	0.00	1.00	27.88	4.82	0.85	0.9	0.85	0.05	0.7573283959395487	1.0	N
ENSMUST00000043843.11|ENSMUSG00000038366.15|chr11|+	1522.4	97836273	chr11:97836072-97838764	86.55	0.00	1.00	99.81	0.00	1.00	95.39	0.00	1.00	78.87	0.00	1.00	77.93	0.00	1.00	66.19	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000151384.1|ENSMUSG00000025485.13|chr7|+	1251.4	140858183	chr7:140857982-140858342	153.90	0.00	1.00	136.82	0.00	1.00	110.21	0.00	1.00	117.83	0.00	1.00	129.15	0.00	1.00	107.33	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000071370.6|ENSMUSG00000035566.7|chr14|+	991.1	84533076	chr14:84532875-84539002	90.21	0.00	1.00	94.41	0.00	1.00	81.07	0.00	1.00	73.42	0.00	1.00	80.29	0.00	1.00	94.39	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
